发文日期|来源|索引号|分类|名称|文号|内容|爬取时间
2023-05-18|重庆局|bm56000001/2023-00005929|行政监管措施|关于对重庆建工集团股份有限公司及唐德祥、周进、窦波采取出具警示函措施的决定||重庆建工集团股份有限公司及唐德祥、周进、窦波：经查，重庆建工集团股份有限公司（以下简称重庆建工或公司）存在以下问题：重庆建工存在未及时披露关联方非经营性资金占用情况。2023年4月29日，重庆建工发布《关于关联方非经营性资金占用情况及整改情况的公告》，披露公司控股股东重庆建工投资控股有限责任公司的关联方存在非经营性占用重庆建工资金的行为。2022年累计发生金额25,000万元，截至2022年期末资金占用余额为25,000万元。截至公告日，上述占用资金和利息已归还。重庆建工对上述关联方资金占用事项未及时披露，违反了《上市公司信息披露管理办法》（证监会令第182号）第三条、第二十二条、第四十一条等相关规定。重庆建工董事长唐德祥、总经理兼财务负责人周进、董事会秘书窦波未按照《上市公司信息披露管理办法》第四条的规定履行勤勉尽责义务，对上述问题负有主要责任。根据《上市公司信息披露管理办法》第五十二条的规定，现对重庆建工、唐德祥、周进、窦波采取出具警示函的行政监管措施，并记入证券期货市场诚信档案。重庆建工应认真汲取教训，加强对证券法律法规的学习，建立健全并严格执行内控管理制度，规范关联交易，切实提高公司规范运作水平和信息披露质量，并于收到本决定书之日起30日内向我局提交书面报告，防止再次发生此类违规行为。如果对本监督管理措施不服，可以在收到本决定书之日起60日内向中国证券监督管理委员会提出行政复议申请；也可以在收到本决定书之日起6个月内向有管辖权的人民法院提起诉讼。复议与诉讼期间，上述监督管理措施不停止执行。重庆证监局2023年5月16日|2024-12-02 10:04:20
2023-05-18|重庆局|bm56000001/2023-00005918|行政监管措施|关于对国元证券股份有限公司重庆分公司采取出具警示函措施的决定||国元证券股份有限公司重庆分公司：经查，你分公司员工通过微信向客户宣传开户送积分兑礼品活动，新开户客户通过活动获取的积分可以在积分商城兑换实物礼品。上述行为违反了《证券经纪业务管理办法》（证监会令〔第204号〕）第八条第（三）项的规定。根据《证券经纪业务管理办法》第四十三条的规定，现对你分公司采取出具警示函的行政监管措施。你分公司应切实加强证券经纪业务营销活动合规管理，规范员工执业行为，杜绝此类问题再次发生。如果对本行政监管措施不服的，可以在收到本决定书之日起60日内向中国证券监督管理委员会提出行政复议申请，也可以在收到本决定书之日起6个月内向有管辖权的人民法院提起诉讼。复议与诉讼期间，上述监督管理措施不停止执行。重庆证监局2023年5月17日|2024-12-02 10:04:20
